序号,省份,城市,景区名称,景区类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议游览时长(h),日均酒景预算(元),交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化生态独特价值,基础设施与配套,性价比,综合加权满意度
161,山东,临沂市,蒙山旅游区,自然山水,8.2,6.7,5.2,7.7,7.25,5,385,6.75,6.0,春夏秋,4-10月,7.5,7.1,8.65,7.26
162,山东,临沂市,萤火虫水洞·地下大峡谷旅游区,自然溶洞,8.3,7.2,5.7,7.7,6.6,4,466,6.9,8.0,四季,全年,8.0,7.5,7.4,7.43
163,山东,济宁市,微山湖旅游区,自然湖泊,8.2,7.1,6.0,8.0,6.8,4,449,7.1,5.0,夏,6-8月,7.5,7.35,7.5,7.26
164,山东,淄博市,潭溪山旅游区,自然山水,8.0,5.0,4.0,7.0,7.0,4,350,7.0,6.0,春秋,4-5月/9-10月,7.0,7.0,7.5,6.74
165,山东,青岛市,青岛海滨风景区,海滨城市,8.8,7.0,7.0,9.0,8.0,4,700,9.0,7.0,夏,5-10月,8.0,8.5,7.5,8.12
166,山东,威海市,华夏城旅游景区,文化主题,8.3,7.2,6.6,8.0,6.8,4,524,7.6,7.0,夏秋,5-10月,7.0,7.85,7.2,7.44
167,山东,日照市,五莲山旅游景区,自然山岳,8.0,5.0,4.0,7.0,7.0,5,350,6.0,6.0,春秋,4-5月/9-10月,7.5,7.0,8.0,6.76
168,河南,登封市,嵩山少林景区,宗教文化,8.7,7.2,5.7,8.2,7.7,5,421,7.4,7.0,春秋,4-5月/9-11月,9.5,7.25,8.9,7.96
169,河南,洛阳市,龙门石窟景区,历史文化,9.25,6.7,6.6,8.3,8.55,4,494,8.6,7.0,春秋,4-5月/9-11月,10.0,8.45,8.45,8.45
170,河南,焦作市,云台山风景名胜区,自然山水,8.9,6.7,5.7,8.2,7.3,6,524,7.6,6.0,春秋夏,4-10月,8.5,8.1,7.75,7.74
171,河南,开封市,清明上河园,历史文化,8.55,7.7,7.1,8.2,7.4,5,444,8.6,8.0,春秋,4-5月/9-10月,8.0,8.45,8.25,8.09
172,河南,洛阳市,白云山景区,自然山水,8.45,6.2,5.2,8.2,7.4,6,469,7.6,5.0,夏秋,5-10月,8.0,7.7,7.95,7.44
173,河南,安阳市,殷墟景区,历史遗址,8.45,6.2,6.6,7.7,7.8,3,399,7.6,8.0,四季,3-11月,9.5,7.6,8.5,7.95
174,河南,洛阳市,龙潭大峡谷景区,自然峡谷,8.35,5.7,5.2,7.7,7.2,4,494,7.6,6.0,夏秋,5-10月,7.5,7.7,7.2,7.23
175,河南,驻马店市,嵖岈山景区,自然山岳,8.2,6.2,5.2,7.7,7.3,5,391,6.9,6.0,春秋,4-5月/9-10月,7.0,7.25,8.6,7.18
176,河南,南阳市,西峡伏牛山老界岭景区,自然山水,8.3,6.6,5.2,7.7,7.3,5,424,7.1,5.0,夏秋,5-10月,7.5,7.35,8.25,7.25
177,河南,安阳市,红旗渠-太行大峡谷旅游区,红色/自然,8.45,5.7,5.2,7.7,7.1,6,474,7.1,6.0,夏秋,5-10月,8.5,7.35,7.35,7.31
178,河南,洛阳市,栾川老君山-鸡冠洞旅游区,自然山水,8.7,6.2,5.2,8.2,7.4,6,544,7.6,5.0,夏秋,5-10月,8.5,8.2,7.25,7.55
179,河南,平顶山市,尧山-中原大佛景区,自然/宗教,8.55,6.7,5.2,7.7,6.8,5,441,6.9,6.0,夏秋,5-10月,7.5,7.5,8.2,7.3
180,河南,永城市,芒砀山旅游区,历史文化,8.2,6.2,5.7,7.7,7.3,3,366,6.9,7.0,春秋,4-5月/9-10月,8.0,7.25,8.85,7.44
181,河南,信阳市,鸡公山风景区,自然山水,8.2,6.2,5.7,7.7,7.3,5,416,6.9,6.0,夏,5-9月,7.5,7.25,8.35,7.27
182,河南,新乡市,八里沟景区,自然山水,8.35,6.7,5.6,7.7,7.3,5,424,7.6,5.0,夏秋,5-10月,7.5,7.35,8.25,7.35
183,河南,洛阳市,洛阳白马寺景区,宗教文化,8.3,5.0,6.0,7.0,8.0,2,400,8.0,8.0,四季,3-11月,9.0,7.5,8.5,7.68
184,河南,新乡市,宝泉旅游区,自然山水,8.3,6.7,5.6,7.7,6.8,5,424,7.6,5.0,夏秋,5-10月,7.5,7.6,8.25,7.33
185,湖北,武汉市,黄鹤楼公园,历史文化,8.35,7.2,7.9,7.8,8.55,2,424,9.6,8.0,春秋,3-5月/9-11月,9.0,8.45,9.2,8.48
186,湖北,宜昌市,三峡大坝旅游区,现代工程,8.55,7.2,7.4,7.3,7.45,3,404,7.6,7.0,春秋,4-5月/9-10月,8.5,7.85,9.45,7.95
187,湖北,宜昌市,三峡人家风景区,自然人文,8.65,7.2,6.1,8.2,7.3,5,474,7.6,7.0,春秋,4-10月,8.0,7.6,8.35,7.74
188,湖北,十堰市,武当山风景区,宗教文化,8.9,6.2,5.2,8.2,7.8,8,574,7.6,6.0,春秋,3-5月/9-11月,9.5,7.85,7.75,7.82
189,湖北,神农架林区,神农架旅游区,自然生态,8.5,6.2,5.1,7.8,7.35,8,580,6.75,4.0,夏秋,5-10月,9.5,7.5,7.3,7.4
190,湖北,恩施州,恩施大峡谷,自然峡谷,8.7,5.7,4.7,8.2,7.1,6,524,6.6,6.0,春秋夏,4-10月,9.0,7.45,7.35,7.39
191,湖北,宜昌市,清江画廊景区,自然山水,8.35,6.7,6.1,8.2,6.8,4,449,7.1,6.0,春秋,4-5月/9-10月,8.0,7.35,8.25,7.47
192,湖北,宜昌市,屈原故里文化旅游区,历史文化,8.0,5.0,5.0,7.0,7.0,3,400,7.0,7.0,春秋,4-5月/9-10月,8.5,7.0,8.0,7.14
193,湖北,武汉市,东湖风景区,城市湖泊,8.45,7.6,7.4,8.5,7.8,4,516,8.4,8.0,春,3-4月,8.0,8.0,8.1,8.07
194,湖北,咸宁市,三国赤壁古战场景区,历史文化,8.2,6.7,6.1,7.7,7.3,3,416,7.4,7.0,春秋,4-5月/9-10月,8.5,7.25,8.4,7.6
195,湖北,武汉市,黄陂木兰文化生态旅游区,自然生态,8.1,7.2,6.1,7.3,6.9,5,444,8.1,7.0,春秋,3-5月/9-10月,7.0,7.95,7.9,7.44
196,湖北,恩施州,恩施土司城景区,民族文化,8.0,6.0,5.0,7.0,7.0,3,400,6.0,7.0,春秋,4-10月,8.0,7.0,7.5,7.0
197,湖北,恩施州,利川腾龙洞景区,自然溶洞,8.35,6.7,5.6,7.7,7.3,3,424,6.6,7.0,夏秋,5-10月,8.0,7.2,8.25,7.41
198,湖北,襄阳市,古隆中景区,历史文化,8.3,6.7,6.6,7.7,7.3,3,424,7.6,7.0,春秋,3-5月/9-11月,8.5,7.35,8.5,7.69
199,湖北,黄冈市,龟峰山景区,自然山岳,8.2,6.2,5.2,7.7,7.3,5,416,6.9,5.0,春,4-5月,7.5,7.25,8.35,7.18
200,湖南,张家界市,张家界武陵源-天门山旅游区,自然山岳,9.35,6.2,5.5,8.3,8.05,8,644,8.1,6.0,春秋,4-5月/9-10月,10.0,8.2,8.2,8.14
201,湖南,衡阳市,南岳衡山旅游区,宗教文化,8.6,6.2,5.2,8.2,7.8,6,524,7.6,6.0,春秋,4-5月/9-11月,9.0,7.6,7.4,7.63
202,湖南,韶山市,韶山旅游区,红色旅游,8.35,6.7,7.2,6.8,7.95,3,391,7.4,8.0,四季,3-11月,9.0,7.5,9.05,7.88
203,湖南,长沙市,岳麓山-橘子洲旅游区,自然人文,8.6,7.2,6.2,8.2,8.4,4,494,9.6,8.0,春秋,3-5月/9-11月,8.5,8.45,8.7,8.29
204,湖南,岳阳市,岳阳楼-君山岛景区,历史文化,8.35,6.7,6.7,8.1,7.95,3,474,7.6,7.0,春秋,4-5月/9-10月,9.0,7.6,7.65,7.83
205,湖南,邵阳市,崀山景区,自然地质,8.35,6.2,5.2,8.2,7.3,6,466,6.9,6.0,春秋,4-5月/9-10月,8.0,7.25,7.45,7.3
206,湖南,郴州市,东江湖旅游区,自然湖泊,8.45,7.1,6.4,8.5,7.2,5,471,6.4,6.0,春夏秋,4-10月,8.0,7.0,7.8,7.46
207,湖南,常德市,桃花源旅游区,历史人文,8.1,6.7,6.6,7.8,7.3,4,391,6.9,7.0,春,3-4月,8.0,7.25,8.55,7.52
208,湖南,湘西州,矮寨·十八洞·德夯大峡谷景区,自然人文,8.45,5.7,5.2,8.2,7.0,5,496,6.4,6.0,春秋,4-5月/9-10月,8.5,7.0,7.6,7.26
209,湖南,湘潭市,花明楼景区,红色旅游,8.1,6.2,7.1,6.8,7.55,3,394,8.1,8.0,四季,3-11月,8.5,7.7,8.7,7.75
210,湖南,株洲市,炎帝陵景区,历史文化,8.1,6.2,6.9,6.8,7.45,3,391,7.4,8.0,四季,3-11月,8.5,7.25,8.6,7.6
211,湖南,永州市,九嶷山-舜帝陵景区,历史文化,7.8,5.0,5.0,6.0,7.0,4,350,5.0,7.0,春秋,4-5月/9-10月,8.0,6.5,8.0,6.68
212,广东,广州市,长隆旅游度假区,主题乐园,8.65,9.3,6.1,7.8,6.2,8,701,8.4,8.0,春秋冬,10-5月,7.5,8.15,8.35,7.9
213,广东,深圳市,观澜湖休闲旅游区,度假休闲,8.15,8.2,6.9,8.1,6.9,5,574,8.6,7.0,四季,10-5月,7.0,8.35,8.2,7.79
214,广东,深圳市,华侨城旅游度假区,主题乐园,8.4,8.8,5.7,7.8,6.9,6,649,9.1,8.0,四季,10-5月,7.5,8.85,7.65,7.94
215,广东,韶关市,丹霞山,自然地质,8.6,6.2,5.2,8.2,7.8,6,474,7.6,7.0,春秋,3-5月/9-11月,9.0,7.6,8.2,7.76
216,广东,惠州市,西湖风景名胜区,城市湖泊,8.7,7.6,7.4,8.0,7.2,3,521,7.4,8.0,四季,10-5月,7.5,7.25,7.5,7.69
217,广东,梅州市,雁南飞茶田景区,生态农业,8.2,6.7,6.6,8.2,7.2,4,421,6.4,7.0,春秋,3-5月/9-11月,7.5,7.0,8.7,7.43
218,广东,佛山市,西樵山景区,自然人文,8.2,6.7,5.7,8.0,7.3,5,524,8.1,7.0,春秋冬,10-5月,7.5,7.6,7.45,7.47
219,广东,清远市,连州地下河景区,自然溶洞,8.3,7.2,6.1,7.7,6.8,3,424,7.1,8.0,四季,全年,7.5,7.35,8.25,7.48
220,广东,佛山市,长鹿旅游休博园,主题乐园,7.85,8.3,6.1,6.8,6.3,5,354,8.1,8.0,四季,10-5月,6.5,7.5,8.45,7.36
221,广东,中山市,孙中山故里旅游区,历史文化,8.2,6.7,7.5,7.3,7.95,3,354,8.1,8.0,四季,10-5月,8.5,7.85,9.45,8.01
222,广东,肇庆市,星湖旅游景区,自然山水,8.2,7.1,6.9,8.0,7.3,4,474,7.6,7.0,春秋冬,10-5月,7.5,7.6,7.8,7.58
223,广东,阳江市,海陵岛大角湾海上丝路旅游区,海滨度假,8.25,7.7,6.9,8.1,6.95,5,566,7.4,6.0,夏秋,5-10月,7.5,7.75,7.3,7.52
224,广东,汕头市,南澳岛旅游区,海岛风光,8.3,7.0,5.0,8.0,7.0,5,500,6.0,7.0,春夏秋,4-10月,7.5,7.0,7.5,7.15
225,广东,潮州市,潮州古城旅游区,历史文化,8.5,7.0,7.0,8.0,8.0,4,400,7.0,8.0,春秋冬,10-5月,8.5,8.0,8.5,7.93
226,广东,揭阳市,揭阳楼景区,历史文化,7.5,6.0,6.0,6.0,6.0,2,350,7.0,8.0,四季,10-5月,7.0,7.0,8.0,6.87
227,广东,珠海市,珠海长隆海洋王国,海洋主题,9.2,10.0,5.0,8.0,6.0,7,900,9.0,8.0,四季,全年,7.5,9.5,7.0,8.05
228,广西,桂林市,漓江风景区,自然山水,9.05,7.2,6.1,8.7,7.9,5,544,8.6,7.0,春秋冬,4-5月/9-11月,10.0,8.2,8.35,8.37
229,广西,桂林市,独秀峰-王城景区,历史文化,8.35,6.7,6.6,7.7,7.9,2,494,9.1,8.0,四季,3-11月,8.5,8.2,8.25,8.03
230,广西,桂林市,两江四湖·象山景区,城市山水,8.45,7.6,7.0,9.0,7.9,3,544,9.1,8.0,四季,3-11月,8.0,8.45,7.6,8.18
231,广西,南宁市,青秀山景区,城市公园,8.55,7.2,6.7,7.7,7.3,4,424,8.6,7.0,春冬,1-3月/10-12月,7.5,8.1,8.8,7.85
232,广西,崇左市,德天跨国瀑布景区,自然瀑布,8.8,6.7,5.2,8.5,7.3,5,516,6.4,5.0,夏秋,6-9月,9.0,7.25,8.2,7.55
233,广西,百色市,百色起义纪念园,红色旅游,8.2,6.2,7.1,6.8,7.45,3,391,6.9,8.0,四季,3-11月,8.5,7.25,8.85,7.6
234,广西,桂林市,龙脊梯田景区,自然人文,8.8,5.0,3.0,8.0,8.0,5,500,5.0,4.0,春秋,4-5月/9-10月,9.0,6.5,7.5,6.9
235,广西,北海市,涠洲岛景区,海岛风光,8.45,6.7,5.2,9.0,7.3,6,566,6.9,5.0,春秋冬,10-5月,8.5,7.25,7.25,7.44
236,广西,来宾市,金秀大瑶山景区,民族生态,7.8,5.0,4.0,7.0,7.0,5,400,5.0,6.0,春秋,4-5月/9-10月,7.5,6.5,7.5,6.53
237,海南,三亚市,蜈支洲岛旅游区,海岛度假,8.6,7.2,5.6,9.1,6.9,6,894,8.6,6.0,冬春秋,10-5月,8.5,8.7,6.75,7.86
238,海南,三亚市,南山文化旅游区,宗教文化,8.55,7.2,6.7,7.8,7.55,5,644,8.6,7.0,冬春秋,10-5月,8.0,8.45,7.75,7.9
239,海南,三亚市,大小洞天旅游区,自然人文,8.2,6.7,5.7,8.2,7.4,4,594,8.1,7.0,冬春秋,10-5月,7.5,7.95,7.7,7.57
240,海南,保亭县,呀诺达热带雨林文化旅游区,自然雨林,8.55,7.2,6.1,7.8,7.25,4,530,6.0,7.0,冬春秋,10-5月,8.0,7.0,8.45,7.46
241,海南,保亭县,槟榔谷黎苗文化旅游区,民族文化,8.4,7.2,6.6,7.6,6.75,4,530,6.0,7.0,冬春秋,10-5月,8.0,6.75,7.7,7.32
242,海南,陵水县,分界洲岛旅游区,海岛度假,8.35,7.2,5.6,8.6,6.6,5,630,6.5,6.0,冬春秋,10-5月,8.0,7.0,7.55,7.33
243,海南,海口市,雷琼海口火山群世界地质公园,自然地质,8.0,6.0,5.0,6.0,7.0,3,500,8.0,7.0,冬春秋,10-5月,8.0,7.0,7.5,7.1
244,重庆,渝中区,重庆大足石刻旅游景区,历史文化,8.6,6.7,6.6,7.8,8.05,4,494,8.1,7.0,春秋,3-5月/9-11月,10.0,8.2,8.2,8.16
245,重庆,武隆区,武隆喀斯特旅游区,自然地质,8.6,6.7,5.6,7.8,7.9,6,544,7.6,6.0,春秋,3-5月/9-10月,9.5,7.95,7.9,7.84
246,重庆,渝中区/江北区,重庆两江游览景区,城市夜景,8.3,7.0,7.0,9.0,7.0,2,600,10.0,9.0,四季,全年,7.5,8.5,7.5,8.09
247,重庆,巫山县,巫山小三峡-小小三峡,自然峡谷,8.35,6.2,6.1,7.8,7.4,5,494,7.1,6.0,春秋,4-5月/9-10月,8.5,7.55,7.9,7.51
248,重庆,酉阳县,酉阳桃花源景区,自然人文,8.2,6.7,6.1,8.2,7.4,4,444,7.1,6.0,春,3-4月,7.5,7.55,8.0,7.43
249,重庆,黔江区,濯水景区,古镇峡谷,8.2,6.7,6.1,7.7,7.4,4,444,7.1,7.0,春秋,3-5月/9-10月,7.5,7.7,8.25,7.47
250,重庆,万盛区,黑山谷景区,自然峡谷,8.55,6.2,4.7,8.0,7.4,5,494,7.6,6.0,夏秋,5-10月,8.0,7.7,7.35,7.39
251,重庆,沙坪坝区,磁器口古镇,历史文化,8.0,7.0,7.0,7.0,8.0,3,500,10.0,9.0,四季,全年,7.5,8.0,8.0,7.91
252,重庆,江津区,四面山景区,自然山水,8.2,6.2,5.2,7.7,7.4,5,444,7.6,6.0,夏秋,5-10月,7.5,7.7,7.95,7.33
253,重庆,云阳县,龙缸景区,自然地质,8.35,6.2,5.1,7.7,7.4,5,469,7.1,5.0,春秋,4-5月/9-10月,8.0,7.55,8.0,7.3
254,重庆,奉节县,白帝城·瞿塘峡景区,历史自然,8.45,6.7,6.1,8.5,7.9,4,469,7.6,7.0,春秋,3-5月/9-11月,9.0,7.8,8.25,7.91
255,重庆,南川区,金佛山景区,自然山岳,8.35,6.2,5.2,7.7,7.4,5,494,7.6,5.0,夏冬,6-8月/12-2月,8.0,7.7,7.7,7.35
256,四川,阿坝州,九寨沟风景名胜区,自然湖泊,9.45,6.7,5.6,8.7,7.7,8,646,6.4,4.0,秋,9-10月,10.0,7.25,8.45,7.86
257,四川,乐山市,峨眉山景区,自然/宗教,9.3,6.2,4.7,8.2,7.8,8,616,7.4,5.0,春秋,4-5月/9-10月,9.5,7.75,7.7,7.75
258,四川,乐山市,乐山大佛景区,历史文化,9.2,7.2,6.2,8.2,7.8,3,466,7.9,7.0,春秋,3-5月/9-11月,9.5,7.75,8.85,8.19
259,四川,阿坝州,黄龙风景名胜区,自然地质,9.1,5.7,5.1,7.8,7.2,5,646,5.9,3.0,夏秋,7-10月,9.5,6.75,7.6,7.24
260,四川,成都市,青城山-都江堰景区,历史/自然,9.3,7.2,5.7,8.7,7.9,6,594,8.6,7.0,春秋,3-5月/9-11月,9.5,8.45,7.7,8.27
261,四川,广安市,邓小平故里旅游区,红色旅游,8.35,6.2,7.9,6.8,7.95,3,321,7.4,8.0,四季,3-11月,9.0,7.5,9.45,7.94
262,四川,广元市,剑门蜀道剑门关旅游区,历史自然,8.45,6.2,5.6,7.7,7.8,5,416,6.9,6.0,春秋,4-5月/9-10月,8.5,7.25,8.4,7.5
263,四川,南充市,阆中古城景区,历史文化,8.55,7.6,7.4,8.1,7.95,5,541,7.4,7.0,春秋,3-5月/9-11月,8.5,7.75,7.3,7.88
264,四川,甘孜州,海螺沟景区,自然冰川,8.45,5.7,5.1,8.5,7.2,6,736,5.9,4.0,秋冬,10-3月,9.0,6.75,6.5,7.09
265,四川,绵阳市,北川羌城旅游区,民族文化,8.1,6.7,6.1,7.3,7.3,4,391,6.9,7.0,春秋,4-5月/9-10月,8.0,7.25,8.55,7.43
266,四川,阿坝州,汶川特别旅游区,红色旅游,8.0,6.2,6.1,6.8,7.2,3,371,6.4,7.0,春秋,4-5月/9-10月,8.0,6.5,8.85,7.21
267,四川,甘孜州,稻城亚丁风景区,自然高原,9.45,4.7,4.2,8.7,7.7,8,836,5.4,3.0,秋,9-10月,10.0,6.25,6.5,7.14
268,四川,凉山州,邛海-螺髻山景区,自然湖泊,8.3,6.0,5.0,8.0,7.0,5,450,6.0,6.0,春秋冬,10-5月,8.0,7.0,7.5,7.1
269,四川,甘孜州,甲居藏寨旅游景区,民族风情,8.5,6.0,4.0,8.0,8.0,4,500,5.0,5.0,春秋,3-5月/9-10月,8.5,7.0,7.5,7.05
270,四川,自贡市,自贡恐龙博物馆,科普教育,8.3,9.0,5.0,6.0,7.0,3,350,7.0,9.0,四季,全年,8.0,7.5,8.5,7.54
271,四川,成都市,成都大熊猫繁育研究基地,自然生态,9.0,9.0,7.0,8.0,8.0,4,600,9.0,8.0,四季,全年,9.0,9.0,8.0,8.52
272,四川,巴中市,光雾山-诺水河景区,自然山水,8.35,6.2,4.7,7.7,7.3,6,441,6.4,4.0,秋,10-11月,8.0,7.0,8.35,7.11
273,四川,雅安市,碧峰峡旅游区,自然生态,8.3,7.2,6.1,7.7,7.3,5,441,6.9,7.0,春秋,4-5月/9-10月,7.5,7.25,8.4,7.45
274,贵州,安顺市,黄果树大瀑布景区,自然瀑布,9.3,7.2,5.7,8.5,7.8,4,516,7.4,5.0,夏秋,6-9月,9.5,7.75,8.65,8.02
275,贵州,安顺市,龙宫景区,自然溶洞,8.25,6.7,6.6,7.3,7.45,4,466,6.9,6.0,春秋,3-5月/9-11月,8.0,7.25,8.35,7.44
276,贵州,黔南州,荔波樟江风景名胜区,自然山水,8.7,6.7,5.6,8.2,7.2,6,446,5.9,5.0,夏,6-8月,9.5,6.75,8.7,7.54
277,贵州,铜仁市,梵净山旅游区,自然山岳,8.7,5.7,4.7,8.2,7.8,6,566,6.4,4.0,春秋,4-5月/9-10月,9.5,7.25,7.45,7.39
278,贵州,毕节市,百里杜鹃景区,自然花卉,8.45,6.7,6.1,8.2,7.3,4,416,6.4,3.0,春,3-4月,8.0,7.25,8.4,7.31
279,贵州,遵义市,遵义会议会址景区,红色旅游,8.5,5.0,7.0,6.0,8.0,2,400,7.0,9.0,四季,全年,9.5,8.0,9.0,7.82
280,贵州,黔东南州,镇远古城景区,历史文化,8.55,7.6,7.4,8.1,7.85,5,521,5.9,7.0,春秋,3-5月/9-11月,8.5,6.75,7.4,7.61
281,贵州,贵阳市,青岩古镇,历史文化,8.4,7.6,7.9,7.6,7.95,3,549,8.1,8.0,春秋,3-5月/9-11月,8.0,7.85,7.25,7.9
282,贵州,黔西南州,万峰林景区,自然山水,8.45,6.2,5.6,8.2,7.7,4,396,5.9,6.0,春秋,3-4月/8-10月,8.5,6.75,8.95,7.43
283,云南,丽江市,丽江古城,历史文化,9.1,7.6,7.4,9.1,8.55,6,719,8.6,7.0,春秋冬,3-5月/9-12月,9.5,8.45,6.75,8.42
284,云南,大理州,崇圣寺三塔文化旅游区,宗教文化,8.55,6.7,6.9,7.8,8.05,3,424,8.6,8.0,四季,3-5月/9-11月,8.5,8.05,8.7,8.08
285,云南,迪庆州,普达措国家公园,自然高原,8.7,6.2,5.9,8.3,7.2,5,616,5.9,4.0,春秋,4-5月/9-10月,9.5,6.75,7.15,7.35
286,云南,昆明市,石林风景名胜区,自然地质,8.8,7.2,6.1,8.2,7.4,4,494,8.6,7.0,四季,全年,9.0,8.2,8.1,8.07
287,云南,丽江市,玉龙雪山景区,自然冰川,8.7,5.7,4.7,8.7,7.2,5,834,8.1,5.0,春冬,11-3月/4-5月,9.5,8.2,6.5,7.64
288,云南,西双版纳,中科院西双版纳植物园,自然生态,8.4,8.7,6.6,7.3,7.2,4,376,6.4,7.0,冬春,11-3月,8.5,7.4,8.95,7.75
289,云南,保山市,腾冲火山热海旅游区,自然地质,8.45,6.7,6.2,8.5,7.3,5,566,6.9,7.0,秋冬春,10-4月,8.5,7.5,7.25,7.6
290,云南,昆明市,昆明世博园景区,园艺展览,8.1,7.2,7.1,7.2,6.9,3,444,8.6,8.0,春,2-4月,7.0,7.95,8.0,7.61
291,云南,红河州,建水风景名胜区,历史文化,8.3,6.0,6.0,8.0,8.0,5,400,6.0,8.0,四季,全年,8.5,7.0,8.5,7.52
292,云南,曲靖市,罗平九龙瀑布群风景区,自然瀑布,8.0,5.0,4.0,8.0,7.0,3,400,6.0,4.0,春,2-3月,8.0,7.0,7.5,6.79
293,西藏,拉萨市,布达拉宫,历史文化,9.35,5.7,5.6,8.3,8.55,3,644,8.1,4.0,夏秋,6-10月,10.0,7.95,8.2,8.02
294,西藏,拉萨市,大昭寺,宗教文化,8.6,5.7,6.4,7.8,8.55,2,594,8.1,5.0,夏秋,6-10月,9.5,7.7,8.0,7.85
295,西藏,林芝市,巴松措,自然湖泊,8.6,5.7,5.1,8.7,7.3,5,616,6.4,3.0,夏秋,5-10月,9.5,7.25,8.15,7.43
296,西藏,日喀则市,扎什伦布寺,宗教文化,8.35,5.7,5.9,7.3,7.95,2,566,6.4,4.0,夏秋,6-9月,9.0,7.0,8.35,7.33
297,西藏,林芝市,雅鲁藏布大峡谷旅游区,自然峡谷,8.7,4.7,4.2,8.2,7.1,8,766,5.9,3.0,夏秋,5-10月,10.0,6.75,6.9,7.08
298,陕西,西安市,秦始皇兵马俑博物馆,历史文化,9.35,7.2,7.4,7.8,8.55,4,474,9.1,7.0,春秋,3-5月/9-11月,10.0,8.7,9.2,8.67
299,陕西,西安市,华清宫景区,历史文化,8.5,6.7,7.1,8.3,8.05,4,544,8.6,7.0,春秋,3-5月/9-11月,9.0,8.45,7.95,8.14
300,陕西,渭南市,华山景区,自然山岳,9.35,4.7,4.2,8.2,7.8,8,574,7.6,5.0,春秋,4-5月/9-10月,9.5,7.85,7.55,7.61
301,陕西,延安市,延安革命纪念地,红色旅游,8.5,6.2,7.6,6.8,7.95,4,424,7.6,8.0,四季,3-11月,9.5,7.85,8.95,8.03
302,陕西,西安市,大雁塔-大唐芙蓉园景区,历史文化,8.6,7.2,7.1,8.7,7.9,5,474,9.6,8.0,春秋,3-5月/9-11月,9.0,8.7,8.95,8.5
303,陕西,西安市,城墙-碑林历史文化景区,历史文化,8.5,6.7,6.6,7.8,8.55,4,519,9.6,8.0,春秋,3-5月/9-11月,9.5,8.7,8.45,8.39
304,陕西,宝鸡市,太白山旅游景区,自然山岳,8.45,5.7,4.7,7.7,7.3,7,474,7.1,4.0,夏秋,6-10月,8.5,7.35,8.2,7.26
305,陕西,宝鸡市,法门寺佛文化景区,宗教文化,8.45,6.2,6.6,7.7,7.3,3,424,7.6,7.0,春秋,3-5月/9-11月,8.5,7.85,8.5,7.74
306,陕西,商洛市,金丝峡景区,自然峡谷,8.45,6.2,5.6,7.7,7.3,5,416,6.4,6.0,夏秋,5-10月,8.0,7.25,8.4,7.33
307,陕西,汉中市,汉中三国文化景区,历史文化,8.0,6.0,6.0,7.0,7.0,4,350,7.0,7.0,春秋,3-5月/9-11月,8.0,7.0,8.0,7.23
308,陕西,黄陵县,黄帝陵景区,历史文化,8.25,6.2,7.4,7.3,7.45,2,399,7.1,7.0,春秋,4-5月/9-10月,9.0,7.35,8.5,7.71
309,陕西,铜川市,照金-香山景区,红色/宗教,8.0,5.0,4.0,6.0,7.0,4,350,6.0,6.0,秋,9-10月,7.5,7.0,8.0,6.66
310,甘肃,敦煌市,鸣沙山-月牙泉景区,自然沙漠,8.8,6.7,5.2,8.7,7.8,4,524,7.1,4.0,春秋,5-6月/9-10月,9.5,7.85,8.2,7.78
311,甘肃,敦煌市,莫高窟,历史文化,9.5,6.0,5.0,9.0,9.0,3,600,6.0,5.0,春秋,5-6月/9-10月,10.0,8.0,8.0,7.95
312,甘肃,嘉峪关市,嘉峪关景区,历史文化,8.35,6.7,6.6,7.8,7.95,3,466,6.9,5.0,春秋,5-6月/9-10月,9.0,7.5,8.35,7.67
313,甘肃,天水市,麦积山景区,历史文化,8.6,6.2,5.2,8.2,7.8,3,424,7.1,6.0,春秋,4-5月/9-10月,9.5,7.35,8.45,7.72
314,甘肃,平凉市,崆峒山风景名胜区,道教文化,8.55,6.2,5.2,7.7,7.3,5,416,6.9,6.0,夏秋,5-10月,8.0,7.25,8.45,7.37
315,甘肃,张掖市,张掖丹霞国家地质公园,自然地质,9.0,6.0,5.0,9.0,8.0,3,500,6.0,4.0,夏秋,6-9月,9.5,7.5,7.5,7.57
316,甘肃,陇南市,官鹅沟景区,自然山水,8.3,6.2,5.6,7.7,7.3,5,416,6.4,5.0,夏秋,5-10月,7.5,7.0,8.4,7.15
317,青海,西宁市,塔尔寺景区,宗教文化,8.35,6.2,6.4,7.3,7.95,3,404,7.6,5.0,夏秋,5-10月,9.0,7.6,8.7,7.68
318,青海,海北州,青海湖景区,自然湖泊,9.0,6.6,5.9,9.0,7.75,5,560,6.25,3.0,夏,7-8月,10.0,7.0,7.5,7.66
319,青海,海东市,互助土族故土园景区,民族风情,8.0,6.7,6.1,6.8,6.8,3,391,6.9,5.0,夏秋,6-9月,7.5,7.25,8.3,7.13
320,青海,海西州,茶卡盐湖景区,自然盐湖,9.0,5.0,4.0,9.0,8.0,3,500,5.0,3.0,夏,6-8月,9.0,7.0,7.0,7.08
321,宁夏,银川市,水洞沟旅游区,历史遗址,8.35,6.7,6.1,7.7,7.3,3,399,7.6,6.0,夏秋,5-10月,8.0,7.6,8.5,7.57
