序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
65,国内,中国,,深圳,世界之窗,,主题乐园,微缩景观,国内,8.0,8.0,7.0,7.0,7.0,4-14岁,,6,250,RMB,9.5,8.0,全年,3-5月/9-11月,7.5,8.0,7.0,9.5,10.0,1.7,深圳微缩景观景区,8.18,130微缩名胜·冰雪世界·动感太空·恐龙4D,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
66,国内,中国,,深圳,小梅沙海洋世界,,主题乐园,海洋主题,国内,8.5,9.5,6.0,7.5,5.0,2-12岁,,6,350,RMB,8.0,8.0,全年,5-10月,7.0,9.0,7.0,9.5,10.0,1.1,深圳海洋主题景区,8.15,海洋动物表演·水母馆·海底隧道·极地馆·水上乐园·沙滩,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
67,国内,中国,,深圳,欢乐谷,,主题乐园,综合游乐,国内,8.5,8.5,4.0,8.0,6.0,6-18岁,,8,300,RMB,9.5,8.0,全年,3-5月/9-11月,6.5,8.5,7.5,9.5,10.0,1.7,深圳综合游乐景区,8.13,木质过山车·激流·太空梭·万圣节·电音节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
68,国内,中国,,深圳,东部华侨城,,度假综合体,山海度假,国内,8.5,8.0,6.0,8.5,6.0,4-14岁,,12,400,RMB,7.0,8.0,全年,4-11月,7.5,8.5,7.0,9.5,10.0,1.7,深圳山海度假景区,8.11,大侠谷·茶溪谷·云海谷高尔夫·茵特拉根小镇·森林小火车,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
69,国内,中国,,清远,古龙峡,,生态乐园,极限运动,国内,8.5,6.0,3.0,8.0,8.0,10-18岁,,5,300,RMB,6.0,8.0,全年,4-10月,7.5,7.5,7.5,9.5,10.0,2.1,清远极限运动景区,7.73,玻璃大峡谷·云天玻霸·悬崖秋千·高空飞索·漂流王·蹦极,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
70,国内,中国,,珠海,长隆海洋王国,,主题乐园,海洋主题,国内,9.5,10.0,6.0,8.5,6.0,2-14岁,,10,700,RMB,8.0,8.0,全年,10-5月,8.0,10.0,7.0,9.5,10.0,1.0,全球最大海洋主题乐园，鲸鲨馆世界之最,8.65,鲸鲨馆·飞越雨林·5D影院·烟花横琴海·企鹅馆·海豚剧场,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
71,国内,中国,,琼海,博鳌亚洲论坛永久会址,,文化景区,会议文化,国内,7.5,4.0,6.0,7.0,7.0,全年龄,,2,80,RMB,7.0,8.0,冬春,11-4月,7.0,7.5,8.0,9.5,10.0,1.3,琼海会议文化景区,7.57,论坛会址·东屿岛·玉带滩·博鳌禅寺·温泉,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
72,国内,中国,,秦皇岛,北戴河阿那亚,,度假小镇,海滨社区,国内,9.0,7.0,6.0,9.5,8.0,全年龄,,48,800,RMB,7.0,6.0,夏秋,5-10月,8.0,8.5,6.5,9.5,10.0,1.4,秦皇岛海滨社区景区,8.23,孤独图书馆·礼堂·沙滩·戏剧节·音乐节·市集·冲浪,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
73,国内,中国,,腾冲,悦榕庄温泉酒店,,度假酒店,温泉度假,国内,9.0,6.0,8.0,10.0,6.0,全年龄,,48,1500,RMB,5.0,8.0,秋冬,10-3月,8.5,9.5,6.0,9.5,10.0,1.1,腾冲温泉度假景区,8.24,火山温泉·SPA·热海大滚锅·银杏村·和顺古镇·翡翠市场,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
74,国内,中国,,芜湖,方特欢乐世界,,主题乐园,科幻体验,国内,8.5,9.0,5.0,7.5,5.0,4-14岁,,8,350,RMB,7.0,8.0,全年,4-10月,7.5,9.0,8.0,9.5,10.0,1.0,芜湖科幻体验景区,8.11,飞越极限·火流星·西游传说·熊出没·水世界,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
75,国内,中国,,苏州,华谊兄弟电影世界,,主题乐园,电影主题,国内,7.5,8.0,5.0,8.0,6.0,6-16岁,,6,300,RMB,8.0,8.0,全年,4-10月,7.0,8.5,7.0,9.5,10.0,1.5,苏州电影主题景区,7.92,集结号·非诚勿扰·太极·通天帝国·星际传奇,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
76,国内,中国,,莫干山,裸心谷度假村,,度假酒店,山居度假,国内,9.0,7.0,6.0,9.5,7.0,4-14岁,,48,1800,RMB,5.0,7.0,春秋夏,4-10月,8.0,9.0,5.5,9.5,10.0,0.9,莫干山山居度假景区,8.03,树顶别墅·马术·自行车·SPA·泳池·星空观赏·亲子农场,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
77,国内,中国,,西双版纳,告庄西双景,,度假小镇,文化夜市,国内,8.5,7.0,7.0,9.0,8.5,全年龄,,24,400,RMB,7.0,8.0,冬春,11-4月,8.0,7.5,8.0,9.5,10.0,1.8,西双版纳文化夜市景区,8.29,星光夜市·大金塔·湄公河夜游·傣族手工·泼水节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
78,国内,中国,,西双版纳,万达度假区,,度假综合体,热带度假,国内,8.5,8.5,6.0,9.0,6.0,3-14岁,,48,800,RMB,7.0,8.0,冬春,11-4月,7.5,9.0,7.0,9.5,10.0,1.2,西双版纳热带度假景区,8.23,万达乐园·水乐园·傣秀·星光夜市·雨林穿越,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
79,国内,中国,,郑州,银基度假区,,度假综合体,综合度假,国内,8.0,9.5,5.0,7.5,4.0,2-14岁,,48,600,RMB,7.0,8.0,全年,5-10月,7.0,9.0,7.5,9.5,10.0,1.2,郑州综合度假景区,7.93,动物王国·水世界·冰雪世界·云岩湖·主题酒店,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
80,国内,中国,,重庆,仙女山度假区,,度假综合体,山地度假,国内,8.5,8.0,6.0,9.0,7.0,3-14岁,,48,600,RMB,7.0,6.0,夏冬,6-8月/12-2月,8.5,7.5,8.0,9.5,10.0,1.4,重庆山地度假景区,8.19,滑雪场·高山草原·小火车·天坑地缝·印象武隆·露营,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
81,国内,中国,,重庆,欢乐谷,,主题乐园,综合游乐,国内,8.0,9.0,4.0,8.0,6.0,6-18岁,,8,280,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.5,9.5,10.0,1.5,重庆综合游乐景区,8.06,大摆锤·飞翼过山车·激流勇进·水公园·电音节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
82,国内,中国,,重庆,融创渝乐小镇,,主题乐园,综合游乐,国内,8.0,9.0,5.0,7.5,5.0,4-16岁,,8,280,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.5,9.5,10.0,1.6,重庆综合游乐景区,8.02,崖上过山车·渝味街·双螺旋·水乐园,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
83,国内,中国,,重庆,际华园室内极限运动,,主题乐园,极限运动,国内,8.0,7.0,3.0,8.0,8.0,10-18岁,,4,300,RMB,8.0,8.0,全年,全年,6.0,8.5,7.0,9.5,10.0,2.0,重庆极限运动景区,7.81,室内跳伞·室内冲浪·攀岩·滑板·蹦极,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
84,国内,中国,,重庆,万盛梦幻奥陶纪,,主题乐园,极限体验,国内,8.8,6.0,2.0,8.5,8.0,12-18岁,,6,300,RMB,5.0,8.0,全年,4-10月,7.0,7.5,7.5,9.5,10.0,1.3,重庆极限体验景区,7.62,悬崖秋千·天空悬廊·步步惊心·高空速滑·玻璃吊桥·蹦极,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
85,国内,中国,,长沙,铜官窑古镇,,度假小镇,文化体验,国内,8.0,8.0,7.0,8.0,7.0,4-14岁,,8,300,RMB,9.0,8.0,春秋,4-5月/9-11月,8.5,8.0,7.5,9.5,10.0,1.3,长沙文化体验景区,8.36,黑石号·密室·陶瓷体验·飞行影院·古镇夜游,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
86,国内,中国,,陵水,分界洲岛,,海岛度假,海岛体验,国内,8.5,7.0,4.0,9.0,7.0,6-16岁,,6,300,RMB,6.0,7.0,冬春,10-5月,8.0,7.5,7.0,9.5,10.0,1.3,陵水海岛体验景区,7.85,潜水·海豚表演·摩托艇·海底漫步·珊瑚馆·海钓,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
87,国内,中国,,陵水,富力海洋欢乐世界,,主题乐园,海洋主题,国内,8.0,9.0,6.0,7.5,5.0,3-12岁,,8,350,RMB,7.0,7.0,冬春,11-4月,7.0,8.0,7.0,9.5,10.0,1.1,陵水海洋主题景区,7.82,海洋表演·过山车·漂流河·花车巡游·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
88,国内,中国,,青岛,海昌极地海洋公园,,主题乐园,海洋主题,国内,8.5,9.5,6.0,8.0,5.0,2-12岁,,6,300,RMB,8.0,8.0,全年,6-10月,7.5,8.5,7.0,9.5,10.0,1.2,青岛海洋主题景区,8.19,白鲸·海底隧道·5D影院·深海奇幻,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
