序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
76,国内,中国,北京,昌平区,明十三陵景区,,景区,历史文化,国内,8.35,6.7,6.9,7.3,7.55,6-16岁,,4,494,RMB,8.6,7.0,春秋,4-5月/9-10月,9.0,8.2,8.0,9.5,10,1.0,昌平区历史文化景区,8.32,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
77,国内,中国,广东,深圳市,华侨城旅游度假区,,景区,主题乐园,国内,8.4,8.8,5.7,7.8,6.9,3-14岁,,6,649,RMB,9.1,8.0,四季,10-5月,7.5,8.85,7.65,9.5,10,1.7,深圳市主题乐园景区,8.38,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
78,国内,中国,四川,广安市,邓小平故里旅游区,,景区,红色旅游,国内,8.35,6.2,7.9,6.8,7.95,6-16岁,,3,321,RMB,7.4,8.0,四季,3-11月,9.0,7.5,9.45,9.5,10,1.5,广安市红色旅游景区,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
79,国内,中国,辽宁,大连市,金石滩国家旅游度假区,,景区,海滨度假,国内,8.45,7.7,7.1,8.2,7.4,6-16岁,,6,544,RMB,8.6,6.0,夏,6-9月,8.0,8.45,7.75,9.5,10,1.5,大连市海滨度假景区,8.34,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
80,国内,中国,安徽,黄山市,古徽州文化旅游区,,景区,历史文化,国内,8.55,6.7,7.1,7.8,7.95,6-16岁,,5,466,RMB,7.4,7.0,春秋,3-5月/9-11月,9.0,7.5,8.7,9.5,10,1.3,黄山市历史文化景区,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
81,国内,中国,广东,潮州市,潮州古城旅游区,,景区,历史文化,国内,8.5,7.0,7.0,8.0,8.0,6-16岁,,4,400,RMB,7.0,8.0,春秋冬,10-5月,8.5,8.0,8.5,9.5,10,1.3,潮州市历史文化景区,8.32,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
82,国内,中国,江西,景德镇市,古窑民俗博览区,,景区,历史文化,国内,8.35,7.2,6.6,7.3,7.8,6-16岁,,3,416,RMB,7.4,8.0,四季,3-11月,9.0,7.75,8.8,9.5,10,1.5,景德镇市历史文化景区,8.31,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
83,国内,中国,山东,青岛市,崂山景区,,景区,自然山岳,国内,8.6,6.7,5.7,8.2,7.9,6-16岁,,6,544,RMB,8.6,7.0,春夏秋,4-10月,8.5,8.2,7.95,9.5,10,1.6,青岛市自然山岳景区,8.33,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
84,国内,中国,河北,秦皇岛市,山海关景区,,景区,历史文化,国内,8.45,7.2,6.2,8.5,7.8,6-16岁,,4,466,RMB,7.9,7.0,夏秋,5-10月,9.0,7.75,7.5,9.5,10,1.1,秦皇岛市历史文化景区,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
85,国内,中国,江苏,南通市,濠河景区,,景区,城市风光,国内,8.4,7.2,7.1,7.7,7.4,6-16岁,,3,444,RMB,8.6,8.0,四季,3-11月,7.5,8.2,8.6,9.5,10,1.4,南通市城市风光景区,8.33,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
86,国内,中国,安徽,黄山市,黄山风景区,,景区,自然山岳,国内,9.0,5.7,4.7,8.7,7.8,全年龄,,8,800,RMB,7.4,6.0,春秋,4-5月/9-11月,10.0,7.75,7.7,9.5,10,1.0,五岳归来不看山，奇松怪石云海温泉,8.25,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
87,国内,中国,山东,枣庄市,台儿庄古城,,景区,历史文化,国内,8.65,7.6,7.4,8.6,7.45,6-16岁,,5,566,RMB,7.4,7.0,春秋,3-5月/9-11月,8.5,8.0,7.05,9.5,10,1.1,枣庄市历史文化景区,8.31,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
88,国内,中国,重庆,沙坪坝区,磁器口古镇,,景区,历史文化,国内,8.0,7.0,7.0,7.0,8.0,6-16岁,,3,500,RMB,10.0,9.0,四季,全年,7.5,8.0,8.0,9.5,10,1.3,沙坪坝区历史文化景区,8.33,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
89,国内,中国,重庆,奉节县,白帝城·瞿塘峡景区,,景区,历史自然,国内,8.45,6.7,6.1,8.5,7.9,6-16岁,,4,469,RMB,7.6,7.0,春秋,3-5月/9-11月,9.0,7.8,8.25,9.5,10,1.4,奉节县历史自然景区,8.31,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
90,国内,中国,北京,通州区,大运河文化旅游景区,,景区,文化旅游,国内,8.1,7.2,7.6,7.3,7.55,6-16岁,,3,494,RMB,9.1,7.0,春秋,4-5月/9-10月,8.0,8.05,8.2,9.5,10,1.5,通州区文化旅游景区,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
91,国内,中国,浙江,杭州市,西溪国家湿地公园,,景区,自然湿地,国内,8.45,7.6,7.1,9.0,7.7,6-16岁,,4,546,RMB,7.9,7.0,春秋,3-5月/9-11月,8.0,7.5,7.75,9.5,10,1.6,杭州市自然湿地景区,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
92,国内,中国,江西,九江市,庐山风景名胜区,,景区,自然山岳,国内,8.9,6.2,5.2,8.7,7.8,6-16岁,,8,516,RMB,7.4,6.0,夏,5-9月,9.5,7.75,8.45,9.5,10,1.4,匡庐奇秀甲天下，含鄱口观云海,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
93,国内,中国,广东,广州市,长隆旅游度假区,,景区,主题乐园,国内,8.65,9.3,6.1,7.8,6.2,3-14岁,,8,701,RMB,8.4,8.0,春秋冬,10-5月,7.5,8.15,8.35,9.5,10,1.7,广州市主题乐园景区,8.34,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
94,国内,中国,海南,三亚市,南山文化旅游区,,景区,宗教文化,国内,8.55,7.2,6.7,7.8,7.55,6-16岁,,5,644,RMB,8.6,7.0,冬春秋,10-5月,8.0,8.45,7.75,9.5,10,0.7,三亚市宗教文化景区,8.32,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
95,国内,中国,贵州,贵阳市,青岩古镇,,景区,历史文化,国内,8.4,7.6,7.9,7.6,7.95,6-16岁,,3,549,RMB,8.1,8.0,春秋,3-5月/9-11月,8.0,7.85,7.25,9.5,10,1.0,贵阳市历史文化景区,8.29,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
96,国内,中国,山东,潍坊市,青州古城景区,,景区,历史文化,国内,8.45,7.6,7.9,7.6,7.95,6-16岁,,3,524,RMB,7.6,8.0,春秋,4-5月/9-10月,8.0,7.85,7.5,9.5,10,1.1,潍坊市历史文化景区,8.27,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
97,国内,中国,湖南,韶山市,韶山旅游区,,景区,红色旅游,国内,8.35,6.7,7.2,6.8,7.95,6-16岁,,3,391,RMB,7.4,8.0,四季,3-11月,9.0,7.5,9.05,9.5,10,1.6,韶山市红色旅游景区,8.26,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
98,国内,中国,四川,南充市,阆中古城景区,,景区,历史文化,国内,8.55,7.6,7.4,8.1,7.95,6-16岁,,5,541,RMB,7.4,7.0,春秋,3-5月/9-11月,8.5,7.75,7.3,9.5,10,1.4,南充市历史文化景区,8.27,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
99,国内,中国,上海,青浦区,上海朱家角古镇景区,,景区,古镇水乡,国内,8.2,7.0,7.0,8.0,8.0,6-16岁,,4,600,RMB,8.0,8.0,春秋,3-5月/9-11月,8.0,8.0,8.0,9.5,10,1.5,青浦区古镇水乡景区,8.28,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
100,国内,中国,江苏,苏州市,同里古镇,,景区,古镇水乡,国内,8.45,7.6,7.9,8.1,7.85,6-16岁,,4,546,RMB,7.4,8.0,春秋,3-5月/9-11月,8.5,7.25,7.15,9.5,10,1.5,苏州市古镇水乡景区,8.26,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
101,国内,中国,浙江,舟山市,普陀山风景名胜区,,景区,宗教文化,国内,8.9,6.2,5.7,8.2,7.8,6-16岁,,6,616,RMB,7.4,7.0,春秋,3-5月/9-11月,9.5,7.75,7.55,9.5,10,1.0,舟山市宗教文化景区,8.26,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
102,国内,中国,浙江,湖州市,南浔古镇,,景区,古镇水乡,国内,8.55,7.6,7.9,8.1,7.85,6-16岁,,4,546,RMB,6.9,8.0,春秋,3-5月/9-11月,8.5,7.25,7.4,9.5,10,1.7,湖州市古镇水乡景区,8.24,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
103,国内,中国,海南,三亚市,蜈支洲岛旅游区,,景区,海岛度假,国内,8.6,7.2,5.6,9.1,6.9,6-16岁,,6,894,RMB,8.6,6.0,冬春秋,10-5月,8.5,8.7,6.75,9.5,10,2.0,三亚市海岛度假景区,8.3,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
104,国内,中国,四川,阿坝州,九寨沟风景名胜区,,景区,自然湖泊,国内,9.45,6.7,5.6,8.7,7.7,6-16岁,,8,646,RMB,6.4,4.0,秋,9-10月,10.0,7.25,8.45,9.5,10,1.2,童话世界彩色湖泊群，海子飞瀑钙华滩,8.25,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
105,国内,中国,辽宁,沈阳市,沈阳植物园,,景区,生态园林,国内,8.15,8.7,7.1,7.3,7.4,3-14岁,,4,374,RMB,9.1,6.0,春夏秋,4-10月,7.0,8.35,8.7,9.5,10,1.3,沈阳市生态园林景区,8.29,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
106,国内,中国,广西,南宁市,青秀山景区,,景区,城市公园,国内,8.55,7.2,6.7,7.7,7.3,6-16岁,,4,424,RMB,8.6,7.0,春冬,1-3月/10-12月,7.5,8.1,8.8,9.5,10,1.6,南宁市城市公园景区,8.28,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
107,国内,中国,西藏,拉萨市,大昭寺,,景区,宗教文化,国内,8.6,5.7,6.4,7.8,8.55,全年龄,,2,594,RMB,8.1,5.0,夏秋,6-10月,9.5,7.7,8.0,9.5,10,1.1,拉萨市宗教文化景区,8.24,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
108,国内,中国,上海,浦东新区,上海野生动物园,,景区,动物园,国内,8.3,9.2,6.1,7.6,6.4,3-14岁,,5,524,RMB,9.1,7.0,春秋,3-5月/9-11月,7.0,8.6,8.45,9.5,10,1.4,浦东新区动物园景区,8.31,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
109,国内,中国,江苏,苏州市,金鸡湖景区,,景区,城市湖泊,国内,8.3,7.6,7.4,8.5,7.2,6-16岁,,3,546,RMB,7.9,8.0,四季,3-11月,7.5,7.75,8.05,9.5,10,1.5,苏州市城市湖泊景区,8.27,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
110,国内,中国,江苏,镇江市,金山-焦山-北固山旅游景区,,景区,历史文化,国内,8.55,6.7,6.2,8.2,7.4,6-16岁,,5,444,RMB,8.6,7.0,春秋,3-5月/9-11月,8.0,7.95,8.3,9.5,10,1.5,镇江市历史文化景区,8.27,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
111,国内,中国,浙江,金华市,东阳横店影视城,,景区,影视主题,国内,8.4,8.7,6.1,7.8,7.3,3-14岁,,8,454,RMB,7.6,8.0,四季,3-11月,7.5,8.25,8.45,9.5,10,1.4,金华市影视主题景区,8.28,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
112,国内,中国,重庆,武隆区,武隆喀斯特旅游区,,景区,自然地质,国内,8.6,6.7,5.6,7.8,7.9,6-16岁,,6,544,RMB,7.6,6.0,春秋,3-5月/9-10月,9.5,7.95,7.9,9.5,10,1.7,天生三桥天坑地缝，变形金刚取景地,8.24,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
113,国内,中国,湖南,岳阳市,岳阳楼-君山岛景区,,景区,历史文化,国内,8.35,6.7,6.7,8.1,7.95,6-16岁,,3,474,RMB,7.6,7.0,春秋,4-5月/9-10月,9.0,7.6,7.65,9.5,10,1.2,岳阳市历史文化景区,8.23,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
114,国内,中国,江西,上饶市,篁岭景区,,景区,古村落,国内,8.6,7.2,6.1,8.7,7.8,6-16岁,,4,441,RMB,6.9,5.0,春秋,3-4月/10-11月,9.0,7.75,8.4,9.5,10,1.4,上饶市古村落景区,8.23,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
115,国内,中国,湖北,十堰市,武当山风景区,,景区,宗教文化,国内,8.9,6.2,5.2,8.2,7.8,6-16岁,,8,574,RMB,7.6,6.0,春秋,3-5月/9-11月,9.5,7.85,7.75,9.5,10,0.8,十堰市宗教文化景区,8.23,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
116,国内,中国,贵州,遵义市,遵义会议会址景区,,景区,红色旅游,国内,8.5,5.0,7.0,6.0,8.0,全年龄,,2,400,RMB,7.0,9.0,四季,全年,9.5,8.0,9.0,9.5,10,1.5,遵义市红色旅游景区,8.21,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
117,国内,中国,浙江,杭州市,千岛湖风景名胜区,,景区,自然湖泊,国内,8.8,7.6,6.4,9.0,7.2,6-16岁,,6,546,RMB,6.9,7.0,春夏秋,4-10月,8.5,7.25,7.9,9.5,10,1.7,杭州市自然湖泊景区,8.23,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
118,国内,中国,福建,龙岩市,福建土楼(永定·南靖),,景区,历史建筑,国内,8.5,7.2,6.6,7.8,7.9,6-16岁,,5,510,RMB,6.75,7.0,春秋,3-5月/9-11月,9.5,7.25,7.75,9.5,10,1.6,龙岩市历史建筑景区,8.2,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
119,国内,中国,广东,深圳市,观澜湖休闲旅游区,,景区,度假休闲,国内,8.15,8.2,6.9,8.1,6.9,3-14岁,,5,574,RMB,8.6,7.0,四季,10-5月,7.0,8.35,8.2,9.5,10,1.6,深圳市度假休闲景区,8.25,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
120,国内,中国,江苏,徐州市,云龙湖景区,,景区,城市湖泊,国内,8.3,7.6,7.4,8.5,7.2,6-16岁,,3,421,RMB,7.4,8.0,四季,3-11月,7.5,7.25,8.55,9.5,10,1.1,徐州市城市湖泊景区,8.21,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
121,国内,中国,江西,吉安市,井冈山风景旅游区,,景区,红色旅游,国内,8.7,6.7,5.7,7.7,7.8,6-16岁,,6,466,RMB,6.9,6.0,春秋,4-5月/9-10月,9.5,7.5,8.6,9.5,10,1.6,吉安市红色旅游景区,8.19,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
122,国内,中国,甘肃,敦煌市,鸣沙山-月牙泉景区,,景区,自然沙漠,国内,8.8,6.7,5.2,8.7,7.8,6-16岁,,4,524,RMB,7.1,4.0,春秋,5-6月/9-10月,9.5,7.85,8.2,9.5,10,1.6,敦煌市自然沙漠景区,8.2,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
123,国内,中国,山西,晋城市,皇城相府景区,,景区,历史文化,国内,8.55,6.7,7.1,7.8,7.45,6-16岁,,3,391,RMB,6.9,7.0,春秋,4-5月/9-10月,8.5,7.5,8.7,9.5,10,1.1,晋城市历史文化景区,8.18,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
124,国内,中国,浙江,宁波市,溪口-滕头旅游景区,,景区,历史人文,国内,8.35,6.7,6.6,8.2,7.4,6-16岁,,5,494,RMB,8.1,7.0,春秋,3-5月/9-11月,8.0,7.95,8.0,9.5,10,1.4,宁波市历史人文景区,8.2,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
125,国内,中国,广东,韶关市,丹霞山,,景区,自然地质,国内,8.6,6.2,5.2,8.2,7.8,6-16岁,,6,474,RMB,7.6,7.0,春秋,3-5月/9-11月,9.0,7.6,8.2,9.5,10,1.5,韶关市自然地质景区,8.19,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
126,国内,中国,黑龙江,哈尔滨市,太阳岛景区,,景区,城市公园,国内,8.35,7.7,7.1,8.0,7.4,6-16岁,,4,544,RMB,9.1,5.0,夏冬,6-8月/12-2月,7.5,8.2,7.3,9.5,10,1.8,哈尔滨市城市公园景区,8.2,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
127,国内,中国,山东,威海市,刘公岛景区,,景区,历史文化,国内,8.45,6.7,6.6,8.0,7.8,6-16岁,,4,524,RMB,7.6,6.0,夏秋,5-10月,9.0,7.6,7.45,9.5,10,1.0,威海市历史文化景区,8.16,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
128,国内,中国,湖南,湘潭市,花明楼景区,,景区,红色旅游,国内,8.1,6.2,7.1,6.8,7.55,6-16岁,,3,394,RMB,8.1,8.0,四季,3-11月,8.5,7.7,8.7,9.5,10,1.4,湘潭市红色旅游景区,8.18,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
129,国内,中国,四川,乐山市,峨眉山景区,,景区,自然/宗教,国内,9.3,6.2,4.7,8.2,7.8,6-16岁,,8,616,RMB,7.4,5.0,春秋,4-5月/9-10月,9.5,7.75,7.7,9.5,10,1.4,佛教四大名山之一，金顶云海日出,8.18,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
130,国内,中国,云南,西双版纳,中科院西双版纳植物园,,景区,自然生态,国内,8.4,8.7,6.6,7.3,7.2,3-14岁,,4,376,RMB,6.4,7.0,冬春,11-3月,8.5,7.4,8.95,9.5,10,1.1,西双版纳自然生态景区,8.17,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
131,国内,中国,安徽,合肥市,三河古镇,,景区,古镇水乡,国内,8.3,7.6,7.9,7.6,7.45,6-16岁,,3,524,RMB,8.1,8.0,春秋,3-5月/9-11月,7.5,7.6,7.25,9.5,10,1.4,合肥市古镇水乡景区,8.17,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
132,国内,中国,江西,上饶市,三清山风景区,,景区,自然山岳,国内,8.9,5.7,4.7,8.2,7.8,全年龄,,6,466,RMB,7.4,6.0,春秋,4-6月/9-11月,9.5,7.5,8.45,9.5,10,1.5,道教名山，巨蟒出山自然石柱奇观,8.17,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
133,国内,中国,河南,焦作市,云台山风景名胜区,,景区,自然山水,国内,8.9,6.7,5.7,8.2,7.3,6-16岁,,6,524,RMB,7.6,6.0,春秋夏,4-10月,8.5,8.1,7.75,9.5,10,1.3,太行山水画廊，红石峡地质奇观,8.19,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
134,国内,中国,湖北,宜昌市,三峡人家风景区,,景区,自然人文,国内,8.65,7.2,6.1,8.2,7.3,6-16岁,,5,474,RMB,7.6,7.0,春秋,4-10月,8.0,7.6,8.35,9.5,10,1.5,宜昌市自然人文景区,8.19,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
135,国内,中国,陕西,宝鸡市,法门寺佛文化景区,,景区,宗教文化,国内,8.45,6.2,6.6,7.7,7.3,6-16岁,,3,424,RMB,7.6,7.0,春秋,3-5月/9-11月,8.5,7.85,8.5,9.5,10,0.8,宝鸡市宗教文化景区,8.17,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
136,国内,中国,河北,唐山市,清东陵景区,,景区,历史文化,国内,8.25,6.2,6.9,7.3,7.45,6-16岁,,4,391,RMB,7.4,7.0,春秋,4-5月/9-10月,9.0,7.5,8.6,9.5,10,1.3,唐山市历史文化景区,8.14,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
137,国内,中国,天津,蓟州区,盘山风景名胜区,,景区,自然山岳,国内,8.55,6.7,5.7,8.2,7.4,6-16岁,,5,444,RMB,8.1,7.0,春秋,4-5月/9-10月,8.0,7.95,8.05,9.5,10,1.5,蓟州区自然山岳景区,8.18,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
138,国内,中国,江苏,苏州市,吴中太湖旅游区,,景区,自然湖泊,国内,8.35,7.6,6.9,8.5,7.2,6-16岁,,5,496,RMB,7.4,7.0,春夏秋,4-10月,8.0,7.25,8.05,9.5,10,1.8,苏州市自然湖泊景区,8.16,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
139,国内,中国,江西,鹰潭市,龙虎山景区,,景区,道教文化,国内,8.65,6.7,5.7,8.2,7.3,6-16岁,,5,441,RMB,7.4,7.0,春秋,4-6月/9-11月,8.5,7.5,8.45,9.5,10,1.5,鹰潭市道教文化景区,8.17,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
140,国内,中国,山东,烟台市,蓬莱阁旅游区(三仙山·八仙过海),,景区,历史文化,国内,8.45,7.2,6.2,8.5,7.3,6-16岁,,4,524,RMB,7.6,6.0,夏秋,5-10月,8.5,7.85,7.45,9.5,10,1.4,烟台市历史文化景区,8.16,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
141,国内,中国,甘肃,天水市,麦积山景区,,景区,历史文化,国内,8.6,6.2,5.2,8.2,7.8,6-16岁,,3,424,RMB,7.1,6.0,春秋,4-5月/9-10月,9.5,7.35,8.45,9.5,10,1.0,天水市历史文化景区,8.15,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
142,国内,中国,陕西,黄陵县,黄帝陵景区,,景区,历史文化,国内,8.25,6.2,7.4,7.3,7.45,6-16岁,,2,399,RMB,7.1,7.0,春秋,4-5月/9-10月,9.0,7.35,8.5,9.5,10,1.2,黄陵县历史文化景区,8.12,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
143,国内,中国,吉林,延边州,长白山景区,,景区,自然火山,国内,9.3,6.7,5.2,8.2,7.7,6-16岁,,6,546,RMB,6.4,4.0,夏秋冬,7-9月/12-2月,9.5,7.25,8.7,9.5,10,1.2,延边州自然火山景区,8.13,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
144,国内,中国,山西,临汾市/延安市,黄河壶口瀑布旅游区,,景区,自然景观,国内,8.9,6.7,5.7,8.5,7.75,6-16岁,,2,410,RMB,6.75,5.0,春秋,4-5月/9-10月,9.0,7.1,8.55,9.5,10,1.8,临汾市/延安市自然景观景区,8.13,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
145,国内,中国,吉林,长春市,净月潭景区,,景区,自然生态,国内,8.3,7.2,6.6,8.2,7.3,6-16岁,,4,424,RMB,8.1,6.0,夏秋冬,5-10月/12-2月,7.5,7.85,8.5,9.5,10,0.9,长春市自然生态景区,8.15,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
146,国内,中国,湖北,襄阳市,古隆中景区,,景区,历史文化,国内,8.3,6.7,6.6,7.7,7.3,6-16岁,,3,424,RMB,7.6,7.0,春秋,3-5月/9-11月,8.5,7.35,8.5,9.5,10,1.3,襄阳市历史文化景区,8.13,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
147,国内,中国,广东,惠州市,西湖风景名胜区,,景区,城市湖泊,国内,9.3,7.6,7.4,8.0,7.2,6-16岁,,3,500,RMB,7.4,8.0,四季,10-5月,7.5,7.25,7.5,9.5,10,0.9,惠州西湖，岭南第一名湖，苏东坡纪念地,8.21,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
148,国内,中国,安徽,池州市,九华山风景区,,景区,宗教文化,国内,9.2,5.7,5.2,8.2,7.7,全年龄,,6,546,RMB,6.9,6.0,春秋,3-5月/9-11月,9.5,7.25,7.85,9.5,10,0.8,池州市宗教文化景区,8.12,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
149,国内,中国,河南,洛阳市,洛阳白马寺景区,,景区,宗教文化,国内,8.3,5.0,6.0,7.0,8.0,全年龄,,2,400,RMB,8.0,8.0,四季,3-11月,9.0,7.5,8.5,9.5,10,1.2,洛阳市宗教文化景区,8.12,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
150,国内,中国,青海,西宁市,塔尔寺景区,,景区,宗教文化,国内,8.35,6.2,6.4,7.3,7.95,6-16岁,,3,404,RMB,7.6,5.0,夏秋,5-10月,9.0,7.6,8.7,9.5,10,1.1,西宁市宗教文化景区,8.11,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
151,国内,中国,甘肃,嘉峪关市,嘉峪关景区,,景区,历史文化,国内,8.35,6.7,6.6,7.8,7.95,6-16岁,,3,466,RMB,6.9,5.0,春秋,5-6月/9-10月,9.0,7.5,8.35,9.5,10,1.2,嘉峪关市历史文化景区,8.1,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + claude+gpt加权平均
